Record ID,Species,Scientific name,Date (Year),Latitude,Longitude,Type,Warmest Quarter Temperature,Coolest Quarter Temperature,Annual Rainfall
181,Numbat,Myrmecobius fasciatus,1995,-34.05940709,116.5084644,contemporary,20.57809,10.45047,608.51483
182,Numbat,Myrmecobius fasciatus,2000,-34.05661659,116.6559648,contemporary,20.40552,10.25146,596.70703
183,Numbat,Myrmecobius fasciatus,2001,-34.05651799,116.6223746,contemporary,20.4629,10.31269,597.01013
184,Numbat,Myrmecobius fasciatus,2000,-34.05624545,116.6857644,contemporary,20.46595,10.31688,588.9458
185,Numbat,Myrmecobius fasciatus,1997,-34.05573312,116.6135904,contemporary,20.4089,10.25595,602.13745
186,Numbat,Myrmecobius fasciatus,2001,-34.053911,116.6559757,contemporary,20.40552,10.25146,596.70703
187,Numbat,Myrmecobius fasciatus,2000,-34.05390339,116.6532669,contemporary,20.40552,10.25146,596.70703
188,Numbat,Myrmecobius fasciatus,2000,-34.05389603,116.6506665,contemporary,20.40552,10.25146,596.70703
189,Numbat,Myrmecobius fasciatus,2000,-34.05389603,116.6506665,contemporary,20.40552,10.25146,596.70703
190,Numbat,Myrmecobius fasciatus,2000,-34.05389603,116.6506665,contemporary,20.40552,10.25146,596.70703
191,Numbat,Myrmecobius fasciatus,1993,-34.05348804,116.61956,contemporary,20.43028,10.25041,597.71588
192,Numbat,Myrmecobius fasciatus,2001,-34.05303013,116.663564,contemporary,20.40267,10.22193,594.05035
193,Numbat,Myrmecobius fasciatus,1998,-34.05240687,116.2794526,contemporary,20.22023,10.19612,713.56976
194,Numbat,Myrmecobius fasciatus,2000,-34.05205275,116.6370218,contemporary,20.45261,10.27395,594.77893
195,Numbat,Myrmecobius fasciatus,2000,-34.05205275,116.6370218,contemporary,20.45261,10.27395,594.77893
196,Numbat,Myrmecobius fasciatus,1994,-34.04967435,116.3541153,contemporary,20.45296,10.36636,665.20172
197,Numbat,Myrmecobius fasciatus,1996,-34.04812219,116.631502,contemporary,20.45261,10.27395,594.77893
198,Numbat,Myrmecobius fasciatus,2000,-34.04755606,116.6262064,contemporary,20.43028,10.25041,597.71588
199,Numbat,Myrmecobius fasciatus,2001,-34.04751097,116.6262066,contemporary,20.43028,10.25041,597.71588
200,Numbat,Myrmecobius fasciatus,2001,-34.04749437,116.6207894,contemporary,20.43028,10.25041,597.71588
201,Numbat,Myrmecobius fasciatus,2001,-34.04749437,116.6207894,contemporary,20.43028,10.25041,597.71588
202,Numbat,Myrmecobius fasciatus,1996,-34.04677809,116.6374668,contemporary,20.44295,10.26386,594.04144
203,Numbat,Myrmecobius fasciatus,1996,-34.04635361,116.6434275,contemporary,20.44295,10.26386,594.04144
